date,value
2025-12-01,2.81421052631579
2025-11-01,2.6575
2025-10-01,2.61782608695652
2025-09-01,2.69318181818182
2025-08-01,2.67333333333333
2025-07-01,2.63130434782609
2025-06-01,2.51904761904762
2025-05-01,2.56285714285714
2025-04-01,2.5105
2025-03-01,2.74142857142857
2025-02-01,2.4055
2025-01-01,2.48363636363636
2024-12-01,2.17888888888889
2024-11-01,2.30571428571429
2024-10-01,2.2295652173913
2024-09-01,2.16714285714286
2024-08-01,2.20772727272727
2024-07-01,2.45826086956522
2024-06-01,2.4845
2024-05-01,2.51954545454545
2024-04-01,2.44571428571429
2024-03-01,2.3495
2024-02-01,2.33190476190476
2024-01-01,2.17454545454545
2023-12-01,2.10210526315789
2023-11-01,2.60136363636364
2023-10-01,2.82318181818182
2023-09-01,2.66142857142857
2023-08-01,2.54565217391304
2023-07-01,2.45666666666667
2023-06-01,2.37636363636364
2023-05-01,2.34227272727273
2023-04-01,2.35944444444444
2023-03-01,2.38347826086957
2023-02-01,2.3705
2023-01-01,2.19272727272727
2022-12-01,2.0852380952381
2022-11-01,2.06636363636364
2022-10-01,2.18666666666667
2022-09-01,1.79545454545455
2022-08-01,1.03434782608696
2022-07-01,1.08190476190476
2022-06-01,1.445
2022-05-01,0.952727272727273
2022-04-01,0.746315789473684
2022-03-01,0.281739130434783
2022-02-01,0.15
2022-01-01,-0.114761904761905
2021-12-01,-0.384285714285714
2021-11-01,-0.313636363636364
